Latitude,Longitude,Sample Date,Calcium - Dissolved,Chloride - Dissolved,Dissolved Reactive Phosphorus,Electrical Conductance,Fluoride - Dissolved,Free Ammonia Nitrogen,Hardness - Magnesium,Hardness - Total,Magnesium - Dissolved,Nitrate and Nitrite,Nitrite,Potassium - Dissolved,Salinity,Si-Dis,Sodium - Dissolved,Sodium Adsorption Ratio,Sulfate - Dissolved,Total Alkalinity,Total Ammonia Nitrogen,Total Kjeldahl Nitrogen,Total Nitrogen,Total Phosphorus,pH
-30.06186,28.50975,2011-01-19,16.882,4.565,0.013,158.8,0.108,0.00082245,23.575,70.145,6.796,0.305,,1.698,0.124332,10.248,2.593,0.135,7.23,68.105,0.025,,,,7.618
-30.06186,28.50975,2011-04-06,19.553,1.505,0.005,168.6,0.116,0.00082245,24.654,78.096,7.107,0.105,,1.497,0.144846,9.693,6.379,0.314,7.172,82.841,0.025,,,,7.853
-30.06186,28.50975,2011-05-11,18.794,1.163,0.005,188.7,0.331,0.0016449,37.167,91.055,10.714,0.025,,2.14,0.151602,9.069,8.809,0.402,1.5,88.573,0.025,,,,8.176
-30.06186,28.50975,2011-06-29,24.162,2.159,0.005,205.2,0.314,0.00082245,34.492,101.285,9.943,0.534,,1.0,0.174952,9.087,5.046,0.218,1.5,105.324,0.025,,,,7.993
-30.06186,28.50975,2011-10-26,23.965,1.557,0.005,216.3,0.421,0.0049347,28.616,93.817,8.249,0.025,,1.0,0.176113,8.29,4.068,0.183,8.213,105.35,0.051,,,,8.306
-30.06186,28.50975,2011-11-23,23.445,1.751,0.005,201.4,0.152,0.00082245,25.102,88.347,7.236,0.025,,1.0,0.159795,7.865,4.231,0.196,7.342,93.893,0.025,,,,7.989
-30.06186,28.50975,2012-02-12,18.269,0.602,0.005,159.7,0.325,0.0,30.069,81.318,8.668,0.025,,1.0,0.130962,11.807,2.0,0.097,4.702,78.111,0.025,,,,7.445
-30.06186,28.50975,2012-03-14,19.318,1.65,0.005,232.7,0.147,0.00246735,29.251,82.966,8.432,0.025,,2.817,0.158735,9.083,5.559,0.266,6.473,93.648,0.025,,,,8.396
-30.06186,28.50975,2012-04-25,26.432,2.733,0.011,260.7,0.21,0.00082245,28.116,99.384,8.105,0.025,,2.177,0.164761,11.057,6.495,0.284,8.638,90.05,0.025,,,,7.864
-30.06186,28.50975,2012-06-13,25.482,2.469,0.005,251.5,0.099,0.0016449,35.079,105.277,10.112,0.143,,1.0,0.180749,7.185,6.117,0.259,10.658,101.809,0.025,,,,8.131
